id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,difficulty_numeric,answer_numeric,tag_encoded,option_a_numeric,option_b_numeric,option_c_numeric,option_d_numeric,correct_option_value,question_length,question_word_count,options_mean,options_std,options_range,answer_position,difficulty_rarity,difficulty_bin
Q000029,Two types of milk having the rates of ₹8/kg and ₹10/kg respectively are mixed in order to produce a mixture having the rate of ₹9.20/kg. What should be the amount of the second type of milk if the amount of the first type of milk in the mixture is 20 kg?,25 kg,30 kg,40 kg,20 kg,B,Very Easy,0.0,1.0,0,25.0,30.0,40.0,20.0,30.0,2.191739978933492,2.2554278076788257,-0.8942006899844834,-0.4453420793482119,-0.4755166588070525,1.0,0.011111111111111112,very_easy
Q000030,"How many kilograms of salt worth ₹360 per kg should be mixed with 10 kg of salt worth ₹420 per kg, such that by selling the mixture at ₹480 per kg, there may be a gain of 20%?",5 kg,3 kg,2 kg,4 kg,A,Very Easy,0.0,0.0,0,5.0,3.0,2.0,4.0,5.0,1.131051703116539,1.3906838412763585,-0.9069982539405087,-0.45270661255243555,-0.48413451192713614,0.0,0.011111111111111112,very_easy
Q000031,Kiran lends ₹1000 on simple interest to Harsh for a period of 5 years. She lends a part of the amount at 2% interest and the rest at 8% and receives ₹300 as the amount of interest. How much money (in ₹) did she lend on 2% interest rate?,333.33,666.67,400,500,A,Easy,1.0,0.0,0,333.33,666.67,400.0,500.0,333.33,1.95006416925368,2.1223902743861385,-0.6680259210586897,-0.3067098142179102,-0.31667441782781675,0.0,0.008064516129032258,easy
Q000032,A tank contains 500 liters of wine. 50 liters of wine is taken out of it and replaced by water. The process is repeated again. Find the proportion of water and wine in the resulting mixture.,1 : 4,41 : 50,19 : 81,81 : 19,C,Easy,1.0,2.0,0,1.0,41.0,19.0,81.0,19.0,1.3324482111830491,1.257646307983671,-0.890779559025942,-0.41900234553194604,-0.445100706618522,2.0,0.008064516129032258,easy
Q000033,"A man purchased a table and a chair for ₹2000. He sold the table at a profit of 20% and the chair at a profit of 40%. In this way, his total profit was 25%. Find the cost price (in ₹) of the table.",1500,900,1000,800,A,Easy,1.0,0.0,0,1500.0,900.0,1000.0,800.0,1500.0,1.4264332482807538,1.78979644115442,-0.3765962468125691,-0.13811257531599472,-0.13080253400370692,0.0,0.008064516129032258,easy
Q000034,A dishonest shopkeeper purchased milk at ₹100 per litre and mixed 10 liters of water in it. By selling the mixture at the rate of ₹100 per litre he earns a profit of 25%. The quantity of the amount of the mixture that he had was:,50 liters,40 liters,25 liters,60 liters,A,Easy,1.0,0.0,0,50.0,40.0,25.0,60.0,50.0,1.8560791321559753,1.9228339744471075,-0.8865981767432802,-0.43884816978062,-0.4679126707599199,0.0,0.008064516129032258,easy
Q000035,A tank has a capacity of 10 gallons and is full of alcohol. 2 gallons of alcohol are drawn out and the tank is again filled with water. This process is repeated 5 times. Find out how much alcohol is left in the resulting mixture finally?,2048/625 gallons,3346/625 gallons,2048/3125 gallons,625 gallons,A,Easy,1.0,0.0,0,2048.0,3346.0,2048.0,625.0,2048.0,1.9634906031247807,1.9228339744471075,0.11338573158297381,0.6752602849551743,0.8937081222132951,0.0,0.008064516129032258,easy
Q000036,"A vessel is full of milk. 1/4 of the milk is taken out and the vessel is filled with water. If the process is repeated 4 times and 100 liters of milk is finally left in the vessel, what is the capacity of the vessel?",25600/243 liters,2461/81 liters,25600/81 liters,30 liters,C,Easy,1.0,2.0,0,25600.0,2461.0,25600.0,30.0,25600.0,1.6815354918316665,1.8563152078007639,5.894336800193847,13.868416539207123,12.476609648142182,2.0,0.008064516129032258,easy
Q000037,In what ratio should two qualities of tea having the rates of ₹40 per kg and ₹30 per kg be mixed in order to get a mixture that would have a rate of ₹35 per kg?,1 : 2,1 : 1,1 : 3,3 : 1,B,Easy,1.0,1.0,0,1.0,1.0,1.0,3.0,1.0,0.9296551950500289,1.257646307983671,-0.9080119223726691,-0.45300228025268985,-0.4846414444636117,1.0,0.008064516129032258,easy
Q000038,In what ratio should water be mixed with soda costing ₹12 per litre so as to make a profit of 50% by selling the diluted liquid at ₹15 per litre?,10 : 1,5 : 1,1:5,6:1,C,Moderate,2.0,2.0,0,10.0,5.0,1.0,6.0,1.0,0.7282586869835188,0.8585337081056094,-0.9059845855083483,-0.45026212451768577,-0.4810929167082831,2.0,0.00684931506849315,moderate
Q000039,A sum of ₹4 is made up of 20 coins that are either 10 paise coins or 60 paise coins. Find out how many 20 paise coins are there in the total amount.,10,13,16,15,C,Moderate,2.0,2.0,0,10.0,13.0,16.0,15.0,16.0,0.7685379885968208,1.0580900080446403,-0.9019299117797066,-0.45133009885044356,-0.4826137143177096,2.0,0.00684931506849315,moderate
Q000040,"Pinku a dishonest grocer professes to sell pure butter at cost price, but he mixes it with adulterated fat and thereby gains 25%. Find the percentage of adulterated fat in the mixture assuming that adulterated fat is freely available.",20%,25%,33.33%,40%,A,Moderate,2.0,0.0,0,20.0,25.0,33.33,40.0,20.0,1.9232113015114787,1.457202607922702,-0.8937787504995967,-0.4450180996140761,-0.4755166588070525,0.0,0.00684931506849315,moderate
Q000041,A mixture of 75 liters of alcohol and water contains 20% of water. How much water must be added to the above mixture to make the water 25% of the resulting mixture?,5 liters,1.5 liter,2 liters,2.5 liters,A,Moderate,2.0,0.0,0,5.0,1.5,2.0,2.5,5.0,0.9833609305344315,0.9915712413982966,-0.9073783796025688,-0.45243881101998623,-0.4838810456588984,0.0,0.00684931506849315,moderate
Q000042,A mixture of 40 liters of milk and water contains 10% water. How much water should be added to it to increase the percentage of water to 25%?,5 liters,6 liters,2.5 liters,8 liters,D,Moderate,2.0,3.0,0,5.0,6.0,2.5,8.0,8.0,0.6745529514991161,0.7254961748129221,-0.9060479397853582,-0.4516948786598227,-0.48286718058594735,3.0,0.00684931506849315,moderate
Q000043,Two vessels contain a mixture of spirit and water. In the first vessel the ratio of spirit to water is 8 : 3 and in the second vessel the ratio is 5 : 1. A 35 litre cask is filled from these vessels so as to contain a mixture of spirit and water in the ratio of 4 :1. How many liters are taken from the first vessel?,11 liters,22 liters,16.5 liters,17.5 liters,A,Moderate,2.0,0.0,0,11.0,22.0,16.5,17.5,11.0,3.024178878941734,3.3862468406666673,-0.9002827005774459,-0.4494272943269761,-0.4800790516353321,0.0,0.00684931506849315,moderate
Q000044,"There are two mixtures of milk and water, the quantity of milk in them being 20% and 80% of the mixture. If 2 liters of the first are mixed with three liters of the second, what will be the ratio of milk to water in the new mixture?",11 : 12,11 : 9,19 : 11,14 : 11,D,Moderate,2.0,3.0,0,11.0,11.0,19.0,14.0,14.0,1.8963584337692774,2.055871507739795,-0.9018032032256865,-0.45018279900245084,-0.4815998492447586,3.0,0.00684931506849315,moderate
Q000045,There are two kinds of alloys of silver and copper. The first alloy contains silver and copper such that 93.33% of it is silver. In the second alloy there is 86.66% silver. What weight of the first alloy should be mixed with some weight of the second alloy so as to make a 100 kg mass containing 90% of silver?,55 kg,50 kg,70 kg,25 kg,B,Moderate,2.0,1.0,0,55.0,50.0,70.0,25.0,50.0,2.94362027571513,2.854096707495918,-0.8834304628927789,-0.43500960549230766,-0.4628433453951648,1.0,0.00684931506849315,moderate
Q000046,"Two buckets of equal capacity are full of a mixture of milk and water. In the first, the ratio of milk to water is 1 : 7 and in the second it is 3 : 8. Now both the mixtures are mixed in a bigger container. What is the resulting ratio of milk to water?",35 : 141,42 : 49,43 : 41,41 : 53,A,Moderate,2.0,0.0,0,35.0,42.0,43.0,41.0,35.0,2.1648871111912906,2.5215028742642,-0.888372096499561,-0.4503666456126009,-0.4815998492447586,0.0,0.00684931506849315,moderate
Q000047,"In the Delhi zoo, there are lions and there are hens. If the heads are counted, there are 180, while the legs are 448. What will be the number of lions in the zoo?",36,88,44,136,C,Difficult,3.0,2.0,0,36.0,88.0,44.0,136.0,44.0,0.9699344966633309,1.1246087746909839,-0.8702527732746934,-0.4072060291008479,-0.4349620558890119,2.0,0.00819672131147541,difficult
Q000048,"A bonus of ₹1,00,000 was divided among 500 workers of a factory. Each male worker gets 500 rupees and each female worker gets 100 rupees. Find the number of male workers in the factory.",250,375,290,125,D,Difficult,3.0,3.0,0,250.0,375.0,290.0,125.0,125.0,1.2653160418275458,1.1246087746909839,-0.7769952775159349,-0.34834488593887847,-0.3589221754176856,3.0,0.00819672131147541,difficult
Q000049,"What will be the ratio of honey and water in the final solution formed by mixing honey and water that are present in three vessels of equal capacity in the ratios 4:1, 5:2 and 6:1 respectively?",166 : 22,83 : 22,83 : 44,None of these,B,Difficult,3.0,1.0,0,166.0,83.0,83.0,1732.0,83.0,1.3727275127963512,1.257646307983671,-0.6472457181994011,0.3706261227267021,0.3502764431115504,1.0,0.00819672131147541,difficult
Q000050,"A mixture worth ₹80 a kg is formed by mixing two types of flour, one costing 50 per kg while the other 110 per kg. In what proportion must they have been mixed?",1 : 1,1 : 2,2:1,1 : 3,A,Difficult,3.0,0.0,0,1.0,1.0,2.0,1.0,1.0,0.9296551950500289,1.0580900080446403,-0.9081386309266891,-0.45351031004765463,-0.48514837700008717,0.0,0.00819672131147541,difficult
Q000051,"A 10 percent gain is made by selling the mixture of two types of milk at ₹48 per kg. If the type costing ₹61 per kg was mixed with 100 kg of the other, how many kilograms of the former was mixed?",38 kg,30.5 kg,19 kg,Cannot be determined,D,Difficult,3.0,3.0,0,38.0,30.5,19.0,2495.0,2495.0,1.3995803805385525,1.6567589078617329,-0.5815473329400039,0.7987236209180663,0.7695096507767956,3.0,0.00819672131147541,difficult
Q000052,A man buys milk at ₹85 per liter and dilutes it with water. He sells the mixture at the same rate and thus gains 11.11%. Find the quantity of water mixed by him in every liter of milk.,0.111 liters,0.909 liters,0.1 litre,0.125 liters,A,Difficult,3.0,0.0,0,0.111,0.909,0.1,0.125,0.111,1.251889607956445,1.3906838412763585,-0.9086144215470344,-0.4536133066831683,-0.485245201114554,0.0,0.00819672131147541,difficult
Q000053,In what proportion must water be mixed with honey so as to gain 10% by selling the mixture at the cost price of the honey? (Assume that water is freely available),1 : 4,1 : 5,1 : 6,1 : 10,D,Difficult,3.0,3.0,0,1.0,1.0,1.0,1.0,1.0,0.9565080627922302,0.925052474751953,-0.9082653394807092,-0.4540183398426194,-0.48565530953656266,3.0,0.00819672131147541,difficult
Q000054,A milkman stole milk from a can that contained 50% of milk and he replaced what he had stolen with milk having 20% milk. The bottle then contained only 25% milk. How much of the bottle did he steal?,80%,83.33%,85.71%,88.88%,B,Difficult,3.0,1.0,0,80.0,83.33,85.71,88.88,83.33,1.4398596821518546,1.457202607922702,-0.8659548191223333,-0.45020458213214165,-0.48115374861266014,1.0,0.00819672131147541,difficult
Q000055,"Shruti possessing ₹10,000, lent a part of it at 5% simple interest and the remaining at 20% simple interest. Her total income after 5 years was ₹7500. Find the sum lent at 20% rate.",₹1666.67,₹6666.67,₹3333.33,None of these,B,Difficult,3.0,1.0,0,1666.67,6666.67,3333.33,1732.0,6666.67,1.211610306343143,1.1246087746909839,0.7889539277950669,1.9253914182867216,2.049007372840978,1.0,0.00819672131147541,difficult
Q000056,"Sharman decides to travel 100 kilometres in 8 hours partly by foot and partly on a bicycle, his speed on foot being 10 km/h and that on bicycle being 20 km/h, what distance would he travel on foot?",20 km,30 km,50 km,60 km,D,Difficult,3.0,3.0,0,20.0,30.0,50.0,60.0,60.0,1.4264332482807538,1.3906838412763585,-0.888498805053581,-0.43546771460349093,-0.4653780080775423,3.0,0.00819672131147541,difficult
Q000057,"By selling a watch for `560, a shopkeeper incurs a loss of 20%. Find the cost price of the watch for the shopkeeper.",600,700,610,640,B,Very Easy,0.0,1.0,11,600.0,700.0,610.0,640.0,700.0,0.33889210472159925,0.3929023415812039,-0.5856653609456556,-0.4082956582957904,-0.4349620558890119,1.0,0.011111111111111112,very_easy
Q000058,"By selling a cap for `29.75, a man gains 6.25%. What will be the CP of the cap?",26,27.5,28,27.80,C,Very Easy,0.0,2.0,11,26.0,27.5,28.0,27.8,28.0,-0.15788594850912568,0.06030850834948573,-0.8949229287423976,-0.45309685725636956,-0.4846414444636117,2.0,0.011111111111111112,very_easy
Q000059,A cellular phone when sold for `3808 fetches a profit of 12%. Find the cost price of the cellular phone.,3190,3400,3260,3560,B,Very Easy,0.0,1.0,11,3190.0,3400.0,3260.0,3560.0,3400.0,0.17777489826839116,0.19334604164217298,0.7903895357121141,-0.28781157010198294,-0.29809027104062463,1.0,0.011111111111111112,very_easy
Q000060,"A machine costs `1025. If it is sold at a loss of 25%, what will be its cost price as a percentage of its selling price?",125%,116.67%,120%,133.33%,D,Very Easy,0.0,3.0,11,125.0,116.67,120.0,133.33,133.33,0.3925978402060019,0.5924586415202348,-0.8460514394568635,-0.4466556389839346,-0.4772098134788807,3.0,0.011111111111111112,very_easy
Q000061,A shopkeeper sold goods for 1800 and made a profit of 20% in the process. Find his profit per cent if he had sold his goods for 1687.5.,11.5%,10.5%,12.5%,6.25%,C,Very Easy,0.0,2.0,11,11.5,10.5,12.5,6.25,12.5,0.5939943482725121,0.7254961748129221,-0.9036088001204723,-0.45122513831367644,-0.48248698118359074,2.0,0.011111111111111112,very_easy
Q000062,"A tablet is sold for 6612.5 at a profit of 15%. What would have been the actual profit or loss on it, if it had been sold for 5380?",370,410,480,340,A,Very Easy,0.0,0.0,11,370.0,410.0,480.0,340.0,370.0,0.5402886127881094,0.7920149414592657,-0.7060384872647055,-0.39249287629793334,-0.41468475442999153,0.0,0.011111111111111112,very_easy
Q000063,"A marble table when sold for 6400 gives a loss of 11.11% to the merchant who sells it. Calculate his loss or gain per cent, if he sells it for 7812.",Loss of 8.625%,Profit of 8.5%,Loss of 8%,Profit of 7.5%,B,Easy,1.0,1.0,11,8.625,8.5,8.0,7.5,8.5,0.7685379885968208,0.925052474751953,-0.9046383071218852,-0.45349595978595114,-0.4850850104330277,1.0,0.008064516129032258,easy
Q000064,"By selling bouquets for `69, a florist gains 15%. At what price should he sell the bouquets to gain 20% on the cost price?",72,75,66,78,A,Easy,1.0,0.0,11,72.0,75.0,66.0,78.0,72.0,0.41945070794820327,0.4594211082275475,-0.8718999844769542,-0.44881258354597486,-0.47957211909885655,0.0,0.008064516129032258,easy
Q000065,"A shopkeeper bought 480 chocolates at 6 per dozen. If he sold all of them at 0.75 each, what was his profit per cent?",50%,33(1/3)%,75%,20%,A,Easy,1.0,0.0,11,50.0,33.0,75.0,20.0,50.0,0.3523185385926999,0.4594211082275475,-0.8862180510812201,-0.4298811319548154,-0.45777402003040973,0.0,0.008064516129032258,easy
Q000066,A feeding bottle is sold for `150. Sales tax accounts for one-fifth of this and profit one-third of the remainder. Find the cost price of the feeding bottle.,72,80,90,76,B,Easy,1.0,1.0,11,72.0,80.0,90.0,76.0,80.0,0.8893758934367268,0.7254961748129221,-0.8684788535184127,-0.4461698686717159,-0.4765305238800035,1.0,0.008064516129032258,easy
Q000067,"An iron merchant makes a profit of 30% by selling iron at 26 per quintal. If he sells the iron at 22.50 per quintal, what is his profit per cent on the whole investment?",12.5%,6.66%,7.5%,8%,A,Easy,1.0,0.0,11,12.5,6.66,7.5,8.0,12.5,1.050493099889935,1.1246087746909839,-0.9043804552144544,-0.45136056540904973,-0.4826948235235457,0.0,0.008064516129032258,easy
Q000068,"The cost price of a shirt and a pair of trousers is `473. If the shirt costs 15% more than the trousers, find the cost price of the trouser.",243,253,210,220,D,Easy,1.0,3.0,11,243.0,253.0,210.0,220.0,220.0,0.6611265176280154,0.7920149414592657,-0.7914400526742208,-0.43379050126676755,-0.46385721046811584,3.0,0.008064516129032258,easy
Q000069,A pet shop owner sells two puppies at the same price. On one he makes a profit of 25% and on the other he suffers a loss of 25%. Find his loss or gain per cent on the whole transaction.,Gain of 6.25%,No profit no loss,Loss of 12.5%,loss of 6.25%,D,Easy,1.0,3.0,11,6.25,2147.0,12.5,6.25,6.25,1.2653160418275458,1.5237213745690457,-0.6335611943652355,0.6324921723611395,0.5995605179233815,3.0,0.008064516129032258,easy
Q000070,"The marked price of a table is `1200, which is 20% above the cost price. It is sold at a discount of 10% on the marked price. find the profit per cent.",10%,8%,7.5%,6%,B,Easy,1.0,1.0,11,10.0,8.0,7.5,6.0,8.0,0.8088172902101228,0.9915712413982966,-0.9047808542451578,-0.4523397901286569,-0.48362757939066064,1.0,0.008064516129032258,easy
Q000071,125 toffees cost `75. Find the cost of one million toffees if there is a discount of 40% on the selling price for this quantity.,3,00,000,3,C,Easy,1.0,2.0,11,3.0,0.0,0.0,3.0,0.0,0.5000093111748073,0.5259398748738912,-0.9080119223726691,-0.4522584730093438,-0.48413451192713614,2.0,0.008064516129032258,easy
Q000072,"Mithilesh makes 750 articles at a cost of 60 paise per article. He fixes the selling price such that if only 600 articles are sold, he would have made a profit of 40% on the outlay. However, 120 articles got spoilt and he was able to sell 630 articles at this price. Find his actual profit percent as the percentage of total outlay assuming that the unsold articles are useless.",42%,53%,47%,46%,C,Moderate,2.0,2.0,11,42.0,53.0,47.0,46.0,47.0,3.856617778949975,3.5192843739593545,-0.8849509655410196,-0.4493992714084781,-0.4800790516353321,2.0,0.00684931506849315,moderate
Q000073,"A manufacturer estimates that on inspection 12% of the articles he produces will be rejected. He accepts an order to supply 22,000 articles at `7.50 each. He estimates the profit on his outlay including the manufacturing of rejected articles, to be 20%. Find the cost of manufacturing each article.",6,5.50,5,4.50,B,Moderate,2.0,1.0,11,6.0,5.5,5.0,4.5,5.5,2.7825030692619217,2.1223902743861385,-0.9061112940623683,-0.4533624761975275,-0.4848949107318494,1.0,0.00684931506849315,moderate
